SPY.Open,SPY.High,SPY.Low,SPY.Close,SPY.Volume,SPY.Adjusted
100.690002,100.940002,100,100.860001,37437700,74.01252
100.290001,100.889999,100.160004,100.449997,21295300,73.71167
101.050003,101.519997,100.400002,100.769997,46494200,73.946465
101.75,101.82,99.730003,99.769997,52040300,73.212654
99.709999,100.830002,99.279999,99.93,23473000,73.330086
99.5,100.389999,98.830002,100.110001,45065800,73.462143
100.050003,100.360001,99.57,100.139999,18919500,73.484184
100.400002,101,99.660004,100.760002,27402400,73.93914
100.610001,101.480003,100.480003,101.440002,28706600,74.438148
101.639999,102.879997,101.050003,102.800003,49419100,75.436127
103.029999,103.699997,102.779999,103.360001,44912400,75.847046
103.099998,103.550003,102.760002,103.410004,28381000,75.883751
102.940002,103.550003,102.400002,102.830002,31637300,75.45816
103.040001,103.879997,102.93,103.68,32632800,76.081886
103.370003,103.459999,102.68,103,35053200,75.582909
102.529999,102.800003,101.550003,101.959999,45904900,74.819702
102.099998,102.760002,101.839996,102.260002,38396300,75.039871
101.910004,102.639999,101.349998,102.449997,42524800,75.179291
102.519997,102.629997,101.949997,102.089996,21312800,74.915108
102.230003,103.639999,102.169998,103.580002,37892600,76.008484
103.480003,103.790001,103.050003,103.379997,31885800,75.861732
103.400002,104.699997,103.169998,104.599998,30243600,76.756981
104.269997,104.599998,103.400002,103.669998,34331600,76.36657
102.849998,102.959999,102.029999,102.550003,36677400,75.541534
102.589996,103.290001,102.360001,102.940002,32489200,75.828819
103.120003,103.220001,101.07,101.110001,41694700,74.480804
101.410004,101.879997,100.199997,100.279999,52673100,73.869385
100.440002,100.660004,99.849998,99.949997,42914700,73.62632
100.300003,100.989998,99.790001,100.93,36771600,74.34819
100.480003,100.760002,99.25,99.949997,70764500,73.62632
100.239998,102.18,100.199997,102.080002,65797600,75.195313
101.93,102.559998,101.629997,102.449997,44591500,75.467865
103.669998,104.279999,103.080002,103.389999,48806900,76.160316
103.480003,103.989998,103.199997,103.860001,20226500,76.506516
103.260002,104.309998,102.910004,104.260002,42602900,76.801208
104.330002,104.389999,103.410004,104,30920800,76.609634
104.879997,105.220001,103.830002,104.279999,40066500,76.815926
104.269997,104.599998,103.910004,104.57,22682800,77.029526
104.709999,105.290001,104.510002,104.900002,23825600,77.272652
104.800003,105.43,104.360001,105.269997,38484400,77.545166
105.860001,105.889999,104.639999,104.989998,39021700,77.338913
104.68,105.730003,104.650002,105.410004,32772200,77.648285
105.470001,105.629997,103.980003,104.260002,32790300,76.801208
104.449997,105.040001,103.940002,105.040001,27657000,77.375778
104.82,105.279999,104.32,104.860001,26729100,77.243141
104.029999,104.190002,103.190002,103.540001,33914500,76.270836
102.889999,103.949997,102.839996,103.349998,45830500,76.130836
102.830002,103.580002,102.18,103.580002,51723600,76.300262
103.739998,104.18,103.269997,103.629997,32460200,76.33709
103.980003,105.150002,103.82,105.040001,34956200,77.375778
104.769997,105.43,103.870003,105.18,30955400,77.478889
105.790001,105.970001,104.800003,105.400002,39123100,77.640923
105.400002,105.739998,105.220001,105.300003,25761600,77.567245
105.75,106.610001,105.709999,105.989998,37589300,78.075554
105.989998,106.269997,105.580002,105.760002,31421600,77.906113
105.489998,105.970001,104.900002,105.839996,33558800,77.965088
105.599998,106.440002,105.099998,106.400002,28392300,78.377579
106.639999,106.720001,105.57,105.610001,31723200,77.795631
105.739998,105.839996,105.010002,105.18,25530800,77.478889
105.089996,105.330002,104.800003,105.150002,26558600,77.456787
105.230003,106.470001,105.160004,106.330002,2.8e+07,78.326004
106.010002,106.540001,105.779999,106.360001,29714800,78.348106
106.400002,106.949997,105.290001,105.459999,49158500,77.685143
104.910004,105.139999,104.040001,104.93,44382100,77.294731
105.239998,105.449997,103.699997,103.839996,41155000,76.491783
104.029999,105.010002,103.919998,104.720001,29827000,77.140038
104,105.239998,103.75,103.779999,53578700,76.447578
104.239998,104.330002,103.620003,104.209999,30016000,76.764328
104.690002,105.779999,104.68,105.589996,28906400,77.780884
105.730003,106.419998,105.449997,105.989998,37580000,78.075554
106.419998,106.449997,105.389999,106.370003,33053600,78.355469
106.279999,106.660004,106.199997,106.449997,10507500,78.414398
106.849998,107.68,106.800003,107.599998,38699000,79.261505
107.379997,107.769997,107.07,107.330002,35352000,79.062645
107.650002,108.080002,107.07,107.160004,39078600,78.937431
107.169998,107.720001,106.940002,107.599998,36089500,79.261505
107.120003,107.800003,106.620003,106.849998,28824400,78.709045
106.739998,107.639999,106.68,107.57,32482900,79.23941
107.900002,107.93,106.540001,106.739998,43596100,78.628029
106.769997,106.980003,105.959999,106.730003,36915400,78.620689
106.68,108.099998,106.669998,107.93,45304000,79.504616
107.970001,108.199997,107.389999,108.139999,34142200,79.659302
109.169998,109.230003,107.480003,107.599998,38693400,79.261505
107.68,108.5,107.519997,108.160004,32894200,79.674065
108.059998,108.5,107.800003,108.5,23198800,79.9245
108.550003,109.730003,108.389999,109.720001,29353100,80.823181
109.300003,109.370003,108.580002,108.900002,41465100,80.59819
108.790001,109.660004,108.779999,109.660004,27611300,81.16069
109.480003,109.949997,109.379997,109.730003,24741200,81.212448
109.519997,109.879997,109.43,109.620003,8055800,81.131096
109.709999,110.080002,109.629997,109.699997,8308400,81.1903
110.099998,111.269997,109.779999,111.160004,22483700,82.270851
111.089996,111.269997,110.849998,111.18,19559500,82.285652
111.220001,111.519997,110.839996,111.279999,31501800,82.35965
111.739998,112.190002,110.730003,111.230003,38072300,82.322632
111.690002,112.519997,111.589996,112.440002,27959800,83.218208
112.160004,112.730003,112,112.550003,20472800,83.299591
112.389999,113.059998,111.889999,112.93,30170400,83.580818
113.25,113.410004,112.769997,113.379997,36438400,83.913887
112.830002,113.5,112.269997,112.389999,54084300,83.181175
112.550003,113.25,112.360001,113.220001,31564100,83.795494
113.089996,113.230003,111.760002,112.559998,54239700,83.306984
112.760002,113.660004,112.669998,113.5,30112800,84.002701
113.57,114.059998,112.580002,113.779999,38408700,84.209946
114.040001,114.309998,113.629997,114.230003,31922700,84.543007
114.529999,114.650002,113.82,114.199997,29863000,84.52076
114.129997,115.300003,113.720001,115.099998,30725000,85.18689
115.139999,115.379997,114.580002,114.800003,29888500,84.964844
115,115.370003,113.949997,114.43,44245300,84.691032
114.389999,115.93,114.379997,115.870003,30460600,85.756767
115.75,116.5,114.650002,114.68,35322800,84.876045
114.980003,115.279999,112.940002,113.370003,52621300,83.906502
113.559998,113.849998,112.559998,113.480003,60117100,83.987923
113.519997,113.720001,113.089996,113.480003,30984400,83.987923
113.699997,114.68,113.120003,113.970001,38832400,84.350563
113.739998,114.139999,113.440002,113.779999,25093500,84.209946
113.190002,113.730003,112.790001,112.849998,39332600,83.52166
113.169998,113.540001,112.779999,113.18,37226800,83.765862
113.419998,114.699997,113.199997,114.449997,37216000,84.705811
114.669998,114.870003,114.290001,114.480003,24851300,84.728004
114.279999,115.139999,114.260002,114.849998,27908100,85.001854
114.849998,116.389999,114.169998,116.07,42965700,85.904778
115.970001,116.269997,115.580002,115.650002,27814700,85.593948
115.82,116.199997,114.75,115.129997,44739900,85.209099
115.849998,116.43,115.769997,116.169998,23984300,85.978783
116.199997,116.599998,115.349998,115.660004,28618000,85.601326
116.330002,116.389999,115.059998,115.230003,51146200,85.283104
115.480003,115.559998,114.32,114.879997,46728800,85.024071
115.220001,115.260002,114.169998,114.589996,36357000,84.809418
114.269997,114.989998,113.029999,114.389999,43953000,84.661423
114.459999,115.059998,114.32,114.870003,31213600,85.016655
114.610001,115.290001,114.339996,114.940002,29683000,85.068459
115.190002,115.739998,114.629997,115.019997,39312000,85.12767
115.43,116.339996,115.25,116.160004,33130800,85.971405
115.940002,116.970001,115.230003,115.480003,38556400,85.46814
115.25,115.870003,114.919998,115.690002,31346200,85.623543
115.720001,116.099998,115.519997,115.989998,21060000,85.845596
115.419998,116.949997,115.279999,116.379997,55905600,86.134247
116.339996,116.620003,114.910004,114.959999,39281600,85.083244
115.099998,115.209999,114.239998,114.5,39746100,84.742867
114.720001,114.769997,112.559998,112.580002,67671800,83.321777
112.400002,113.269997,111.099998,111.120003,89134800,82.241249
111.730003,112.709999,111.580002,112.580002,54012200,83.321777
112.269997,112.349998,110.900002,111.199997,57677200,82.300453
111.779999,112.059998,110.839996,111.790001,59832600,82.737129
112.18,113.260002,112.099998,113.040001,41607300,83.662254
112.699997,113.269997,111.93,113.07,60014300,83.684448
112.410004,112.57,111.040001,111.059998,48636200,82.48497
110.540001,110.57,109.099998,109.650002,62752100,81.437782
110.25,110.400002,109.360001,109.459999,54080200,81.296623
109.580002,110.139999,108.849998,109.550003,51584300,81.363533
110.080002,111.300003,109.790001,111,49873600,82.440445
110.959999,111.790001,110.800003,111.029999,37409500,82.462723
111.629997,112.739998,111.580002,112.589996,44113600,83.621292
112.300003,113.07,112.220001,112.970001,39059900,83.903557
112.989998,113.400002,112.379997,113.099998,48517600,84.000122
113.07,113.870003,113.050003,113.779999,45103800,84.505157
114.809998,114.839996,113.900002,114.639999,50987700,85.143883
114.459999,115.379997,114.440002,115.269997,30251800,85.611763
114.830002,115.18,114.620003,114.900002,28420900,85.337029
114.949997,114.980003,114.110001,114.629997,45890500,85.136459
115.410004,115.410004,113.739998,114.370003,46929700,84.943352
114.580002,115.080002,114.57,114.82,23085200,85.277573
115.260002,115.300003,113.019997,113.209999,56210300,84.081825
112.610001,113.639999,112.550003,113.389999,62322300,84.2155
113.449997,113.779999,112.360001,112.959999,61602500,83.896111
113.379997,114.050003,112.980003,113.830002,47059200,84.542259
113.550003,113.989998,113.269997,113.830002,28277600,84.542259
114.080002,114.32,111.779999,111.919998,53299400,83.123711
112.199997,112.949997,111.870003,112.669998,50177300,83.680717
112.480003,114.669998,112.440002,114.25,62071500,84.854202
114.419998,114.57,113.790001,114.360001,29395700,84.935944
114.5,114.940002,113.599998,114.199997,35515200,84.817101
114.230003,115.120003,113.959999,114.300003,43485500,84.891373
113.889999,114.010002,112.5,112.82,50165800,83.792145
112.720001,113.32,111.160004,111.830002,69687600,83.056885
112.169998,112.379997,110.900002,110.959999,48681400,82.410713
111.370003,112.290001,111.349998,112.150002,33758000,83.294548
112.25,113.260002,111.660004,112.059998,51185100,83.227692
112.410004,112.959999,112.160004,112.779999,34405000,83.762444
